,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,-34.4187,19.2345,288.04,86,100,7.32
1,Punta Arenas,-53.15,-70.9167,279.88,79,100,4.51
2,Mar del Plata,-38.0023,-57.5575,284.33,62,0,1.34
3,Kavieng,-2.5744,150.7967,302.97,68,17,2.73
4,Barrow,71.2906,-156.7887,272.16,86,90,4.63
5,Port Alfred,-33.5906,26.891,295.96,38,21,5.92
6,Lompoc,34.6391,-120.4579,296.24,65,1,8.75
7,Lebu,-37.6167,-73.65,284.88,80,55,5.32
8,Esperance,-33.8667,121.9,291.06,76,2,2.83
9,Rikitea,-23.1203,-134.9692,296.02,61,54,7.96
10,Mitsamiouli,-11.3847,43.2844,299.43,67,50,2.89
11,Busselton,-33.65,115.3333,290.83,62,16,2.16
12,Kaitangata,-46.2817,169.8464,289.22,63,81,1.44
13,East London,-33.0153,27.9116,297.56,32,100,6.22
14,Cabo San Lucas,22.8909,-109.9124,301.38,61,1,4.12
15,Nago,26.5881,127.9761,302.39,75,24,6.01
16,Muzhi,65.3667,64.6667,282.61,91,100,0.93
17,Jieshi,22.8134,115.8257,303.04,72,100,5.58
18,Qaanaaq,77.484,-69.3632,271.27,80,42,3.39
19,Cape Town,-33.9258,18.4232,289.2,93,75,2.68
20,Albany,42.6001,-73.9662,293.11,52,100,1.63
21,Hilo,19.7297,-155.09,299.0,71,90,5.14
22,Chokurdakh,70.6333,147.9167,273.09,100,100,3.09
23,Cherskiy,68.75,161.3,280.94,53,88,2.91
24,Chui,-33.6971,-53.4616,282.77,86,100,1.42
25,Nouadhibou,20.931,-17.0347,292.14,88,0,9.26
26,Puerto Ayora,-0.7393,-90.3518,296.79,89,8,2.24
27,Lavrentiya,65.5833,-171.0,274.04,96,54,1.72
28,Karratha,-20.7377,116.8463,300.79,22,2,6.56
29,Kapaa,22.0752,-159.319,300.33,70,75,1.79
30,Waddān,29.1614,16.139,300.5,19,61,2.75
31,Fortuna,40.5982,-124.1573,286.59,65,75,4.47
32,Mossamedes,-15.1961,12.1522,297.1,45,0,3.83
33,Coyhaique,-45.5752,-72.0662,278.12,100,75,2.06
34,Colesberg,-30.72,25.0972,287.25,41,79,6.15
35,Cayenne,4.9333,-52.3333,297.64,90,75,5.45
36,Hithadhoo,-0.6,73.0833,302.12,69,23,3.94
37,Mmabatho,-25.85,25.6333,282.13,45,99,4.49
38,Oranjemund,-28.55,16.4333,287.29,82,21,4.65
39,Aklavik,68.2191,-135.0107,286.61,47,42,3.94
40,Warner Robins,32.621,-83.5999,296.85,69,20,5.14
41,Provideniya,64.3833,-173.3,275.21,75,0,4.0
42,Vanavara,60.34,102.2797,279.07,39,15,1.29
43,Ushuaia,-54.8,-68.3,277.96,93,90,3.6
44,Salalah,17.0151,54.0924,302.2,79,40,1.03
45,Baculin,7.4525,126.5842,302.62,69,47,1.36
46,Pacific Grove,36.6177,-121.9166,291.64,72,1,2.68
47,George Town,5.4112,100.3354,300.87,86,20,0.89
48,Hofn,64.2539,-15.2082,274.68,75,95,1.36
49,Lakatoro,-16.0999,167.4164,298.47,82,100,4.09
50,Saint Paul Harbor,57.79,-152.4072,278.88,93,90,9.77
51,Flinders,-34.5833,150.8552,292.48,52,79,0.89
52,Batagay,67.6333,134.6333,276.6,73,100,2.67
53,Beloha,-25.1667,45.05,290.94,62,0,5.63
54,Fort Nelson,58.8053,-122.7002,288.92,23,20,2.06
55,Mataura,-46.1927,168.8643,287.86,67,53,1.36
56,Itarema,-2.9248,-39.9167,298.11,87,3,4.25
57,Brae,60.3964,-1.353,277.1,72,57,4.5
58,Dingle,10.9995,122.6711,302.49,72,100,1.46
59,Nikolskoye,59.7035,30.7861,286.36,91,98,2.57
60,Penzance,50.1186,-5.5371,284.53,85,100,8.77
61,Husavik,66.0449,-17.3389,273.1,74,10,1.48
62,Jamestown,42.097,-79.2353,294.95,51,1,0.89
63,Arraial do Cabo,-22.9661,-42.0278,294.77,70,44,1.61
64,Longyearbyen,78.2186,15.6401,268.06,74,75,4.12
65,Dikson,73.5069,80.5464,266.19,92,100,2.8
66,New Norfolk,-42.7826,147.0587,287.46,54,34,4.81
67,Pevek,69.7008,170.3133,274.09,89,72,2.9
68,Vila Velha,-20.3297,-40.2925,294.79,93,40,1.34
69,The Valley,18.217,-63.0578,300.27,75,96,4.86
70,Itaituba,-4.2761,-55.9836,296.34,98,100,0.27
71,Grimshaw,56.1834,-117.6027,282.6,42,75,1.97
72,Bud,39.447,-86.1758,295.18,90,100,2.75
73,Dauphin,51.1494,-100.0502,293.23,21,1,6.17
74,Teguise,29.0605,-13.564,291.27,85,0,7.49
75,Vaini,-21.2,-175.2,300.24,78,75,4.12
76,Saint-Philippe,-21.3585,55.7679,294.9,80,98,8.8
77,Avarua,-21.2078,-159.775,301.18,69,6,7.72
78,Mahébourg,-20.4081,57.7,294.96,73,73,10.75
79,Sobolevo,54.4299,31.8996,285.62,95,100,4.52
80,Ribeira Grande,38.5167,-28.7,289.09,91,100,9.08
81,Bredasdorp,-34.5322,20.0403,287.75,89,100,3.21
82,Wisconsin Rapids,44.3836,-89.8174,294.47,91,90,2.57
83,Faanui,-16.4833,-151.75,300.78,76,100,8.2
84,Ilulissat,69.2167,-51.1,274.16,86,90,1.54
85,Butaritari,3.0707,172.7902,301.05,78,71,5.19
86,Bayan,46.0833,127.4,299.54,34,20,7.43
87,Lugo,43.0,-7.5,283.02,96,100,0.64
88,Upernavik,72.7868,-56.1549,269.93,78,10,4.07
89,Ancud,-41.8697,-73.8203,284.5,83,17,6.17
90,Thompson,55.7435,-97.8558,273.24,80,90,4.63
91,Hanna,51.6334,-111.9018,280.55,63,100,4.02
92,Gamba,-2.65,10.0,298.48,93,95,2.72
93,Goderich,43.7501,-81.7165,297.33,35,100,2.06
94,Mendoza,-32.8908,-68.8272,290.89,68,40,3.6
95,Sioux Lookout,50.1001,-91.917,295.36,64,90,2.57
96,Walvis Bay,-22.9575,14.5053,288.68,82,0,2.38
97,Ponta do Sol,32.6667,-17.1,296.5,58,4,2.52
98,Bluff,-46.6,168.3333,288.04,77,86,2.96
99,Zihuatanejo,17.6333,-101.55,299.76,63,0,3.1
100,Kushiro,42.975,144.3747,287.68,89,20,4.44
101,Saskylakh,71.9167,114.0833,271.06,89,100,4.48
102,Torbay,47.6666,-52.7314,278.86,78,40,4.63
103,Amapá,1.0,-52.0,295.07,99,64,0.89
104,Sheikhpura,25.15,85.85,302.81,58,79,3.58
105,Sandy Springs,33.9243,-84.3785,296.99,61,40,0.45
