,City,Country,Lat,Lng,Hotel Name
0,Albany,,42.6001,-73.9662,
1,Bambous Virieux,,-20.3428,57.7575,
2,Tuktoyaktuk,,69.4541,-133.0374,
3,Mataura,,-46.1927,168.8643,
4,La Rioja,,42.25,-2.5,
5,Nanortalik,,60.1432,-45.2371,
6,Hobyo,,5.3505,48.5268,
7,Namatanai,,-3.6667,152.4333,
8,Bethel,,41.3712,-73.414,
9,Upernavik,,72.7868,-56.1549,
10,Constitución,,-35.3333,-72.4167,
11,Ribeira Grande,,38.5167,-28.7,
12,Corinth,,37.9407,22.9573,
13,Bayan,,46.0833,127.4,
14,Srednekolymsk,,67.45,153.6833,
15,Rikitea,,-23.1203,-134.9692,
16,Saint-Pierre,,-21.3393,55.4781,
17,Auki,,-8.7676,160.7034,
18,Ushuaia,,-54.8,-68.3,
19,College,,64.8569,-147.8028,
20,Laas,,46.6166,10.7002,
21,Pingliang,,35.5392,106.6861,
22,Puerto Ayora,,-0.7393,-90.3518,
23,Miraflores,,19.2167,-98.8083,
24,Portland,,45.5234,-122.6762,
25,Lavrentiya,,65.5833,-171.0,
26,Avarua,,-21.2078,-159.775,
27,Vaini,,-21.2,-175.2,
28,Saldanha,,-33.0117,17.9442,
29,Young,,-32.6833,-57.6333,
30,Shingū,,33.7333,135.9833,
31,Qaanaaq,,77.484,-69.3632,
32,Busselton,,-33.65,115.3333,
33,Gewanē,,10.1664,40.6453,
34,Jalu,,29.0331,21.5482,
35,Krasnaya Polyana,,56.242,51.1442,
36,Hobart,,-42.8794,147.3294,
37,Arrondissement d'Ajaccio,,42.0,8.9167,
38,Okhotsk,,59.3833,143.3,
39,Airai,,-8.9266,125.4092,
40,Port Alfred,,-33.5906,26.891,
41,Clyde River,,70.4692,-68.5914,
42,Cururupu,,-1.8283,-44.8683,
43,Butaritari,,3.0707,172.7902,
44,Amuntai,,-2.4177,115.2494,
45,Tigil',,57.8,158.6667,
46,Hong Kong,,22.2855,114.1577,
47,Starotimoshkino,,53.7191,47.5312,
48,Ilulissat,,69.2167,-51.1,
49,Baykit,,61.67,96.37,
50,Punta Arenas,,-53.15,-70.9167,
51,Alghero,,40.5589,8.3181,
52,Malokakhovka,,46.7814,33.4479,
53,Morondava,,-20.2833,44.2833,
54,Yarkovo,,57.4028,67.0786,
55,Fortuna,,40.5982,-124.1573,
56,Coquimbo,,-29.9533,-71.3436,
57,Carauari,,-4.8828,-66.8958,
58,Antofagasta,,-23.65,-70.4,
59,São Filipe,,14.8961,-24.4956,
60,Leningradskiy,,69.3833,178.4167,
61,Teahupoo,,-17.8333,-149.2667,
62,Saint George,,37.1041,-113.5841,
63,Cabo San Lucas,,22.8909,-109.9124,
64,Shimoda,,34.6667,138.95,
65,Plettenberg Bay,,-34.0527,23.3716,
66,Cedar City,,37.6775,-113.0619,
67,Lompoc,,34.6391,-120.4579,
68,Dmitriyevka,,54.75,55.3333,
69,Barrow,,71.2906,-156.7887,
70,Berezovyy,,51.6667,135.7,
71,Jamestown,,42.097,-79.2353,
72,Ponta do Sol,,32.6667,-17.1,
73,Yerbogachën,,61.2767,108.0108,
74,Puerto El Triunfo,,13.2833,-88.55,
75,Dikson,,73.5069,80.5464,
76,Hermanus,,-34.4187,19.2345,
77,Ancud,,-41.8697,-73.8203,
78,Port Blair,,11.6667,92.75,
79,Nikolskoye,,59.7035,30.7861,
80,Tahoua,,14.8888,5.2692,
81,Padang,,-0.9492,100.3543,
82,Bluff,,-46.6,168.3333,
83,Chokurdakh,,70.6333,147.9167,
84,Westport,,41.1415,-73.3579,
85,Kapaa,,22.0752,-159.319,
86,Saskylakh,,71.9167,114.0833,
87,Kyzyl-Suu,,42.3414,78.0056,
88,George Town,,5.4112,100.3354,
89,Sompeta,,18.9333,84.6,
90,Torbay,,47.6666,-52.7314,
91,Hithadhoo,,-0.6,73.0833,
92,Tuatapere,,-46.1333,167.6833,
93,Norman Wells,,65.282,-126.8329,
94,San Jerónimo,,-11.9472,-75.2829,
95,Lorengau,,-2.0226,147.2712,
96,Nuuk,,64.1835,-51.7216,
97,Yellowknife,,62.456,-114.3525,
98,Luocheng,,29.3848,104.0286,
99,Paramonga,,-10.6667,-77.8333,
100,Thompson,,55.7435,-97.8558,
101,Amapá,,1.0,-52.0,
102,Muli,,2.9167,73.5667,
103,Provideniya,,64.3833,-173.3,
104,Saint-Philippe,,-21.3585,55.7679,
105,Galveston,,29.3669,-94.9669,
106,Pangnirtung,,66.1451,-65.7125,
107,Susa,,32.1942,48.2436,
108,Sidrolândia,,-20.9319,-54.9614,
109,Tiksi,,71.6872,128.8694,
110,Bredasdorp,,-34.5322,20.0403,
111,Port Elizabeth,,-33.918,25.5701,
112,Cherskiy,,68.75,161.3,
113,Atikokan,,48.7555,-91.6216,
114,Constantine,,36.365,6.6147,
115,East London,,-33.0153,27.9116,
116,Ikongo,,-21.8833,47.4333,
117,Port Lincoln,,-34.7333,135.8667,
118,Havre-St-Pierre,,50.2334,-63.5986,
119,Jaisinghnagar,,23.7,81.3833,
120,Yanam,,16.7333,82.2167,
121,New Norfolk,,-42.7826,147.0587,
122,Shashi,,30.3072,112.2447,
123,Ketchikan,,55.3422,-131.6461,
124,Khorinsk,,52.1657,109.7726,
125,Ardmore,,34.1743,-97.1436,
126,Santa Cruz de La Palma,,28.6835,-17.7642,
127,Henties Bay,,-22.116,14.2845,
128,Gerāsh,,27.6652,54.1371,
129,Faanui,,-16.4833,-151.75,
130,Castro,,-24.7911,-50.0119,
131,Sinnamary,,5.3833,-52.95,
132,Japura,,-0.3167,102.35,
133,Biak,,-0.9131,122.8766,
134,Barma,,8.35,-11.3333,
135,Carnarvon,,-24.8667,113.6333,
136,Maun,,-19.9833,23.4167,
137,Kuybyshevo,,47.8123,38.9073,
138,Geraldton,,-28.7667,114.6,
139,Hilo,,19.7297,-155.09,
140,Hasaki,,35.7333,140.8333,
141,Kaitangata,,-46.2817,169.8464,
142,Magrath,,49.4167,-112.8686,
143,Flinders,,-34.5833,150.8552,
144,Pamanukan,,-6.2842,107.8106,
145,Arraial do Cabo,,-22.9661,-42.0278,
146,Esil,,51.9556,66.4042,
147,Karachi,,24.9056,67.0822,
148,Togur,,58.3631,82.8265,
149,Nuquí,,5.7125,-77.2708,
150,Soyo,,-6.1349,12.3689,
151,Katsuura,,35.1333,140.3,
152,St. George's,,12.0564,-61.7485,
153,Faya,,18.3851,42.4509,
154,Petropavlovsk-Kamchatskiy,,53.0452,158.6483,
155,Loa Janan,,-0.583,117.095,
156,Mahon,,39.8885,4.2658,
157,Key West,,24.5557,-81.7826,
158,Khatanga,,71.9667,102.5,
159,Port Hardy,,50.6996,-127.4199,
160,Half Moon Bay,,37.4636,-122.4286,
161,Atar,,20.5169,-13.0499,
162,Karatau,,43.1667,70.4667,
163,Kruisfontein,,-34.0033,24.7314,
164,Talara,,-4.5772,-81.2719,
165,Ambilobe,,-13.2,49.05,
166,Udachny,,66.4167,112.4,
167,Mutatá,,7.2441,-76.4356,
168,Saint Anthony,,45.0205,-93.218,
169,Ribeirão Preto,,-21.1775,-47.8103,
170,Ibrā’,,22.6906,58.5334,
171,Phonhong,,18.5007,102.4166,
172,Kieta,,-6.2167,155.6333,
173,Pevek,,69.7008,170.3133,
174,General Roca,,-39.0333,-67.5833,
175,Bonavista,,48.6499,-53.1147,
176,Yulara,,-25.2406,130.9889,
177,Longyearbyen,,78.2186,15.6401,
178,São João da Barra,,-21.6403,-41.0511,
179,Tabuk,,17.4189,121.4443,
180,Coahuayana Viejo,,18.7333,-103.6833,
181,Naryan-Mar,,67.6713,53.087,
182,Tahe,,52.3333,124.7333,
183,Fort Nelson,,58.8053,-122.7002,
184,Lüderitz,,-26.6481,15.1594,
185,Kavaratti,,10.5669,72.642,
186,Diamantino,,-14.4086,-56.4461,
187,Skibbereen,,51.55,-9.2667,
188,Maravatío de Ocampo,,19.9,-100.45,
189,Tawao,,4.2498,117.8871,
190,Atuona,,-9.8,-139.0333,
191,Jega,,12.2175,4.3792,
192,Avera,,33.194,-82.5271,
193,Rafai,,4.95,23.9167,
194,Comodoro Rivadavia,,-45.8667,-67.5,
195,Ambon City,,-3.6954,128.1814,
196,Road Town,,18.4167,-64.6167,
197,Codrington,,-38.2667,141.9667,
198,Pacific Grove,,36.6177,-121.9166,
199,Sitka,,57.0531,-135.33,
